ISO	Language	Level	Category	CategoryEN	Region1Code	Region2Code	Region3Code	Region4Code	Region	Latitude	Longitude	Elevation	ISO2	FIPS	NUTS	HASC	STAT
AD	CA	1	Parròquia	Parish	02				Canillo	42.56653	1.59976	1959	AD-02	AN02		AD.CA	02
AD	CA	1	Parròquia	Parish	03				Encamp	42.53516	1.58271	1867	AD-03	AN03		AD.EN	03
AD	CA	1	Parròquia	Parish	04				La Massana	42.54381	1.51442	1553	AD-04	AN04		AD.MA	04
AD	CA	1	Parròquia	Parish	05				Ordino	42.60395	1.53749	1829	AD-05	AN05		AD.OR	05
AD	CA	1	Parròquia	Parish	06				Sant Julià de Lòria	42.45785	1.49587	1307	AD-06	AN06		AD.JL	06
AD	CA	1	Parròquia	Parish	07				Andorra La Vella	42.49959	1.50544	1206	AD-07	AN07		AD.AN	07
AD	CA	1	Parròquia	Parish	08				Escaldes-Engordany	42.51123	1.53853	1731	AD-08	AN08		AD.EE	08
AE	EN	1	Emirate	Emirate	01				Abu Dhabi	23.92407	53.95151	4	AE-AZ	AE01		AE.AZ	
AE	EN	1	Emirate	Emirate	02				Ajman	25.30350	55.61482	9	AE-AJ	AE02		AE.AJ	
AE	EN	1	Emirate	Emirate	03				Dubai	24.96081	55.52410	3	AE-DU	AE03		AE.DU	
AE	EN	1	Emirate	Emirate	04				Fujairah	25.26796	56.17178	12	AE-FU	AE04		AE.FU	
AE	EN	1	Emirate	Emirate	05				Ras al Khaimah	25.75071	55.93141	1	AE-RK	AE05		AE.RK	
AE	EN	1	Emirate	Emirate	06				Sharjah	25.22998	56.12437	6	AE-SH	AE06		AE.SH	
AE	EN	1	Emirate	Emirate	07				Umm Al Quwain	25.45513	55.72950	0	AE-UQ	AE07		AE.UQ	
AF	EN	1	Province	Province	01				Balkh	36.65919	67.03872	344	AF-BAL	AF30		AF.BK	16
AF	EN	1	Province	Province	02				Bamyan	34.81753	67.47671	3596	AF-BAM	AF05		AF.BM	28
AF	EN	1	Province	Province	03				Badghis	35.06494	63.39888	1811	AF-BDG	AF02		AF.BG	19
AF	EN	1	Province	Province	04				Badakhshan	37.20075	70.82951	2074	AF-BDS	AF01		AF.BD	11
AF	EN	1	Province	Province	05				Baghlan	35.87903	69.03416	602	AF-BGL	AF03		AF.BL	13
AF	EN	1	Province	Province	06				Daykundi	33.73993	66.11071	2323	AF-DAY	AF41		AF.DK	34
AF	EN	1	Province	Province	07				Farah	32.46271	62.24727	1189	AF-FRA	AF06		AF.FH	21
AF	EN	1	Province	Province	08				Faryab	36.17062	64.91638	1570	AF-FYB	AF07		AF.FB	18
AF	EN	1	Province	Province	09				Ghazni	33.32840	68.07092	2804	AF-GHA	AF08		AF.GZ	06
AF	EN	1	Province	Province	10				Ghor	34.28123	64.94765	3177	AF-GHO	AF09		AF.GR	27
AF	EN	1	Province	Province	11				Helmand	31.66515	64.37593	801	AF-HEL	AF10		AF.HM	23
AF	EN	1	Province	Province	12				Herat	34.34488	62.29903	803	AF-HER	AF11		AF.HR	20
AF	EN	1	Province	Province	13				Jowzjan	36.76448	65.87610	1339	AF-JOW	AF31		AF.JW	17
AF	EN	1	Province	Province	14				Kabul	34.58863	69.16993	1850	AF-KAB	AF13		AF.KB	01
AF	EN	1	Province	Province	15				Kandahar	31.49582	65.78012	990	AF-KAN	AF23		AF.KD	24
AF	EN	1	Province	Province	16				Kapisa	35.01601	69.47484	2379	AF-KAP	AF14		AF.KP	02
AF	EN	1	Province	Province	17				Kunduz	36.79449	68.83456	369	AF-KDZ	AF24		AF.KZ	14
AF	EN	1	Province	Province	18				Khost	33.38471	69.85278	1755	AF-KHO	AF37		AF.KT	32
AF	EN	1	Province	Province	19				Kunar	34.91663	71.11074	2036	AF-KNR	AF34		AF.KR	10
AF	EN	1	Province	Province	20				Laghman	34.73769	70.13457	758	AF-LAG	AF35		AF.LA	09
AF	EN	1	Province	Province	21				Logar	33.96481	69.10375	2444	AF-LOG	AF17		AF.LW	05
AF	EN	1	Province	Province	22				Nangarhar	34.29441	70.54396	1577	AF-NAN	AF18		AF.NG	08
AF	EN	1	Province	Province	23				Nimruz	31.16075	62.30935	643	AF-NIM	AF19		AF.NM	22
AF	EN	1	Province	Province	24				Nuristan	35.35852	70.78868	1772	AF-NUR	AF38		AF.NR	30
AF	EN	1	Province	Province	25				Urozgan	32.78145	65.94675	2152	AF-URU	AF39		AF.OZ	26
AF	EN	1	Province	Province	26				Panjshir	35.35489	69.58894	2547	AF-PAN	AF42		AF.PJ	33
AF	EN	1	Province	Province	27				Parwan	34.99366	69.05140	2709	AF-PAR	AF40		AF.PV	03
AF	EN	1	Province	Province	28				Paktia	33.71014	69.48421	2370	AF-PIA	AF36		AF.PT	07
AF	EN	1	Province	Province	29				Paktika	32.81747	68.81870	2019	AF-PKA	AF29		AF.PK	29
AF	EN	1	Province	Province	30				Samangan	36.10456	67.78960	4573	AF-SAM	AF32		AF.SM	15
AF	EN	1	Province	Province	31				Sar-e Pol	35.98165	66.17236	1264	AF-SAR	AF33		AF.SP	31
AF	EN	1	Province	Province	32				Takhar	36.85806	69.63882	439	AF-TAK	AF26		AF.TK	12
AF	EN	1	Province	Province	33				Wardak	34.29155	68.50149	2913	AF-WAR	AF27		AF.VR	04
AF	EN	1	Province	Province	34				Zabul	32.22149	67.08840	1805	AF-ZAB	AF28		AF.ZB	25
AG	EN	1	Dependency	Dependency	01				Antigua surrounding islands	17.07781	-61.80623	10					
AG	EN	1	Dependency	Dependency	02				Barbuda Island	17.64265	-61.81614	1	AG-10	AC01		AG.BB	
AG	EN	1	Parish	Parish	03				Saint George	17.11518	-61.80183	99	AG-03	AC03		AG.GE	
AG	EN	1	Parish	Parish	04				Saint John	17.11857	-61.83865	198	AG-04	AC04		AG.JO	
AG	EN	1	Parish	Parish	05				Saint Mary	17.05346	-61.86021	277	AG-05	AC05		AG.MA	
AG	EN	1	Parish	Parish	06				Saint Paul	17.05007	-61.79562	822	AG-06	AC06		AG.PA	
AG	EN	1	Parish	Parish	07				Saint Peter	17.08498	-61.77437	162	AG-07	AC07		AG.PE	
AG	EN	1	Parish	Parish	08				Saint Phillip	17.07535	-61.70491	449	AG-08	AC08		AG.PH	
AG	EN	1	Dependency	Dependency	11				Redonda Island	16.93834	-62.34549	97	AG-11	AC09		AG.RD	
